condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,111,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,111,matched_controls_excess,-0.41363730202407856,-0.44937255170171675,-0.3758455443490782,-0.013024182940100337,-0.020119109835975257,-0.00685301356958553,-1.0,True,True,"-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,111,matched_controls_excess,-0.20681865101203928,-0.22403695701281462,-0.1849926538617639,-0.006512091470050168,-0.010315182855694556,-0.003754709963747087,-0.5,True,True,"-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,111,matched_controls_excess,-0.41363730202407856,-0.4535807115904242,-0.37409666761671945,-0.013024182940100337,-0.02001445373808672,-0.007292458229510773,-1.0,True,True,"-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,111,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,111,matched_controls_excess,-0.2324185846730144,-0.27282894206664904,-0.18347550796659826,-0.0010853485783416947,-0.0017218639047427966,-0.0006411746711422315,-0.08333333333333337,True,True,"-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,111,matched_controls_excess,-0.39764082388583255,-0.4355243939426798,-0.3569517740791835,-0.0040700571687813545,-0.00626728264885166,-0.002257997191431153,-0.3125,True,True,"-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,111,matched_controls_excess,-0.38397700329810114,-0.42797126714933126,-0.34343011643458987,-0.0024423304527691997,-0.0038689639938654517,-0.0011789443773961568,-0.13475975975975976,True,True,"-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,55,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,55,matched_controls_excess,-0.38902482869257105,-0.43874671164100226,-0.333590789285738,-0.011884398787514742,-0.02057978852134089,-0.005211992038026551,-1.0,True,True,"-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,55,matched_controls_excess,-0.19451241434628552,-0.21935894408612885,-0.16416476587492637,-0.005942199393757371,-0.01025928740295057,-0.0029016984444720055,-0.5,True,True,"-1,-1",True,True,True,True,True,True,
