timestamp,open,high,low,close,volume,symbol,source
2022-01-01 00:00:00+00:00,3676.01,3705.9,3676.01,3691.5,15789.481,ETHUSDT,archive_monthly
2022-01-01 00:15:00+00:00,3691.5,3698.98,3684.66,3696.81,5576.187,ETHUSDT,archive_monthly
2022-01-01 00:30:00+00:00,3696.81,3716.61,3693.44,3712.52,10722.556,ETHUSDT,archive_monthly
2022-01-01 00:45:00+00:00,3712.51,3730.0,3709.47,3721.67,13747.696,ETHUSDT,archive_monthly
2022-01-01 01:00:00+00:00,3721.67,3727.04,3712.65,3726.16,10340.489,ETHUSDT,archive_monthly
2022-01-01 01:15:00+00:00,3726.16,3747.78,3725.23,3736.88,16100.459,ETHUSDT,archive_monthly
2022-01-01 01:30:00+00:00,3736.88,3741.3,3730.84,3732.27,5399.426,ETHUSDT,archive_monthly
2022-01-01 01:45:00+00:00,3732.27,3732.99,3721.71,3723.71,7378.732,ETHUSDT,archive_monthly
2022-01-01 02:00:00+00:00,3723.72,3729.0,3721.38,3725.56,5438.751,ETHUSDT,archive_monthly
2022-01-01 02:15:00+00:00,3725.62,3735.42,3725.62,3727.76,4819.16,ETHUSDT,archive_monthly
2022-01-01 02:30:00+00:00,3727.77,3728.64,3721.15,3727.26,3492.188,ETHUSDT,archive_monthly
2022-01-01 02:45:00+00:00,3727.27,3734.0,3724.99,3727.03,4853.111,ETHUSDT,archive_monthly
2022-01-01 03:00:00+00:00,3727.04,3728.66,3720.91,3727.48,3695.47,ETHUSDT,archive_monthly
2022-01-01 03:15:00+00:00,3727.49,3734.62,3725.25,3727.49,3149.94,ETHUSDT,archive_monthly
2022-01-01 03:30:00+00:00,3727.51,3730.76,3725.44,3729.45,2224.91,ETHUSDT,archive_monthly
2022-01-01 03:45:00+00:00,3729.45,3729.98,3720.56,3722.07,3543.231,ETHUSDT,archive_monthly
2022-01-01 04:00:00+00:00,3722.07,3726.63,3710.51,3711.74,5779.757,ETHUSDT,archive_monthly
2022-01-01 04:15:00+00:00,3711.95,3718.57,3710.46,3715.63,7270.943,ETHUSDT,archive_monthly
2022-01-01 04:30:00+00:00,3715.62,3717.13,3707.4,3714.28,7866.435,ETHUSDT,archive_monthly
2022-01-01 04:45:00+00:00,3714.28,3721.75,3706.0,3707.3,7078.33,ETHUSDT,archive_monthly
2022-01-01 05:00:00+00:00,3707.29,3714.59,3702.33,3714.56,7990.661,ETHUSDT,archive_monthly
2022-01-01 05:15:00+00:00,3714.52,3758.99,3711.15,3749.77,23940.044,ETHUSDT,archive_monthly
2022-01-01 05:30:00+00:00,3749.76,3764.03,3742.68,3743.56,14617.467,ETHUSDT,archive_monthly
2022-01-01 05:45:00+00:00,3743.57,3744.5,3728.0,3735.39,8805.541,ETHUSDT,archive_monthly
2022-01-01 06:00:00+00:00,3735.39,3742.43,3726.32,3740.09,7317.813,ETHUSDT,archive_monthly
2022-01-01 06:15:00+00:00,3740.09,3740.9,3724.79,3726.71,5141.732,ETHUSDT,archive_monthly
2022-01-01 06:30:00+00:00,3726.99,3730.77,3720.92,3722.72,4289.727,ETHUSDT,archive_monthly
2022-01-01 06:45:00+00:00,3722.73,3727.25,3706.8,3710.97,10203.134,ETHUSDT,archive_monthly
2022-01-01 07:00:00+00:00,3710.97,3713.44,3701.16,3707.72,7922.684,ETHUSDT,archive_monthly
2022-01-01 07:15:00+00:00,3707.85,3715.73,3706.09,3707.58,4573.024,ETHUSDT,archive_monthly
2022-01-01 07:30:00+00:00,3707.58,3721.29,3703.52,3721.29,6869.557,ETHUSDT,archive_monthly
2022-01-01 07:45:00+00:00,3721.29,3724.63,3709.5,3714.77,11987.671,ETHUSDT,archive_monthly
2022-01-01 08:00:00+00:00,3714.77,3718.28,3707.51,3716.12,5827.85,ETHUSDT,archive_monthly
2022-01-01 08:15:00+00:00,3716.13,3725.0,3715.52,3721.16,5693.953,ETHUSDT,archive_monthly
2022-01-01 08:30:00+00:00,3721.15,3724.32,3715.34,3721.74,5636.929,ETHUSDT,archive_monthly
2022-01-01 08:45:00+00:00,3721.59,3733.33,3720.0,3720.98,13189.749,ETHUSDT,archive_monthly
2022-01-01 09:00:00+00:00,3720.98,3729.88,3716.0,3728.73,8007.305,ETHUSDT,archive_monthly
2022-01-01 09:15:00+00:00,3728.73,3729.2,3720.0,3721.98,4137.75,ETHUSDT,archive_monthly
2022-01-01 09:30:00+00:00,3721.98,3725.99,3707.59,3713.17,7270.542,ETHUSDT,archive_monthly
2022-01-01 09:45:00+00:00,3713.16,3719.06,3710.13,3717.47,3614.395,ETHUSDT,archive_monthly
2022-01-01 10:00:00+00:00,3717.46,3731.7,3716.58,3719.07,9324.267,ETHUSDT,archive_monthly
2022-01-01 10:15:00+00:00,3719.07,3719.15,3685.59,3690.5,22340.214,ETHUSDT,archive_monthly
2022-01-01 10:30:00+00:00,3690.51,3699.0,3671.86,3697.68,23487.314,ETHUSDT,archive_monthly
2022-01-01 10:45:00+00:00,3697.68,3707.06,3688.96,3690.72,14821.354,ETHUSDT,archive_monthly
2022-01-01 11:00:00+00:00,3690.76,3702.66,3690.22,3701.44,6341.727,ETHUSDT,archive_monthly
2022-01-01 11:15:00+00:00,3701.45,3711.62,3700.49,3706.0,7898.659,ETHUSDT,archive_monthly
2022-01-01 11:30:00+00:00,3705.57,3707.99,3696.02,3704.68,6631.313,ETHUSDT,archive_monthly
2022-01-01 11:45:00+00:00,3704.78,3707.81,3692.0,3692.08,6560.358,ETHUSDT,archive_monthly
2022-01-01 12:00:00+00:00,3692.09,3707.66,3692.08,3707.65,5186.495,ETHUSDT,archive_monthly
