age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
9,0,0,,0.0,0.0,BTCUSDT,range_expansion
10,0,0,,0.0,0.0,BTCUSDT,range_expansion
11,0,0,,0.0,0.0,BTCUSDT,range_expansion
12,0,0,,0.0,0.0,BTCUSDT,range_expansion
13,0,0,,0.0,0.0,BTCUSDT,range_expansion
14,0,0,,0.0,0.0,BTCUSDT,range_expansion
15,0,0,,0.0,0.0,BTCUSDT,range_expansion
16,0,0,,0.0,0.0,BTCUSDT,range_expansion
17,0,0,,0.0,0.0,BTCUSDT,range_expansion
18,0,0,,0.0,0.0,BTCUSDT,range_expansion
19,0,0,,0.0,0.0,BTCUSDT,range_expansion
20,0,0,,0.0,0.0,BTCUSDT,range_expansion
21,0,0,,0.0,0.0,BTCUSDT,range_expansion
22,0,0,,0.0,0.0,BTCUSDT,range_expansion
23,0,0,,0.0,0.0,BTCUSDT,range_expansion
24,0,0,,0.0,0.0,BTCUSDT,range_expansion
25,0,0,,0.0,0.0,BTCUSDT,range_expansion
26,0,0,,0.0,0.0,BTCUSDT,range_expansion
27,0,0,,0.0,0.0,BTCUSDT,range_expansion
28,0,0,,0.0,0.0,BTCUSDT,range_expansion
29,0,0,,0.0,0.0,BTCUSDT,range_expansion
30,0,0,,0.0,0.0,BTCUSDT,range_expansion
31,0,0,,0.0,0.0,BTCUSDT,range_expansion
32,0,0,,0.0,0.0,BTCUSDT,range_expansion
33,0,0,,0.0,0.0,BTCUSDT,range_expansion
34,0,0,,0.0,0.0,BTCUSDT,range_expansion
35,0,0,,0.0,0.0,BTCUSDT,range_expansion
36,0,0,,0.0,0.0,BTCUSDT,range_expansion
37,0,0,,0.0,0.0,BTCUSDT,range_expansion
38,0,0,,0.0,0.0,BTCUSDT,range_expansion
39,0,0,,0.0,0.0,BTCUSDT,range_expansion
40,0,0,,0.0,0.0,BTCUSDT,range_expansion
41,0,0,,0.0,0.0,BTCUSDT,range_expansion
42,0,0,,0.0,0.0,BTCUSDT,range_expansion
43,0,0,,0.0,0.0,BTCUSDT,range_expansion
44,0,0,,0.0,0.0,BTCUSDT,range_expansion
45,0,0,,0.0,0.0,BTCUSDT,range_expansion
46,0,0,,0.0,0.0,BTCUSDT,range_expansion
47,0,0,,0.0,0.0,BTCUSDT,range_expansion
48,0,0,,0.0,0.0,BTCUSDT,range_expansion
49,0,0,,0.0,0.0,BTCUSDT,range_expansion
50,0,0,,0.0,0.0,BTCUSDT,range_expansion
51,0,0,,0.0,0.0,BTCUSDT,range_expansion
52,0,0,,0.0,0.0,BTCUSDT,range_expansion
53,0,0,,0.0,0.0,BTCUSDT,range_expansion
54,0,0,,0.0,0.0,BTCUSDT,range_expansion
55,0,0,,0.0,0.0,BTCUSDT,range_expansion
56,0,0,,0.0,0.0,BTCUSDT,range_expansion
57,0,0,,0.0,0.0,BTCUSDT,range_expansion
58,0,0,,0.0,0.0,BTCUSDT,range_expansion
59,0,0,,0.0,0.0,BTCUSDT,range_expansion
60,0,0,,0.0,0.0,BTCUSDT,range_expansion
61,0,0,,0.0,0.0,BTCUSDT,range_expansion
62,0,0,,0.0,0.0,BTCUSDT,range_expansion
63,0,0,,0.0,0.0,BTCUSDT,range_expansion
64,0,0,,0.0,0.0,BTCUSDT,range_expansion
65,0,0,,0.0,0.0,BTCUSDT,range_expansion
66,0,0,,0.0,0.0,BTCUSDT,range_expansion
67,0,0,,0.0,0.0,BTCUSDT,range_expansion
68,0,0,,0.0,0.0,BTCUSDT,range_expansion
69,0,0,,0.0,0.0,BTCUSDT,range_expansion
70,0,0,,0.0,0.0,BTCUSDT,range_expansion
71,0,0,,0.0,0.0,BTCUSDT,range_expansion
72,0,0,,0.0,0.0,BTCUSDT,range_expansion
73,0,0,,0.0,0.0,BTCUSDT,range_expansion
74,0,0,,0.0,0.0,BTCUSDT,range_expansion
75,0,0,,0.0,0.0,BTCUSDT,range_expansion
76,0,0,,0.0,0.0,BTCUSDT,range_expansion
77,0,0,,0.0,0.0,BTCUSDT,range_expansion
78,0,0,,0.0,0.0,BTCUSDT,range_expansion
79,0,0,,0.0,0.0,BTCUSDT,range_expansion
80,0,0,,0.0,0.0,BTCUSDT,range_expansion
81,0,0,,0.0,0.0,BTCUSDT,range_expansion
82,0,0,,0.0,0.0,BTCUSDT,range_expansion
83,0,0,,0.0,0.0,BTCUSDT,range_expansion
84,0,0,,0.0,0.0,BTCUSDT,range_expansion
85,0,0,,0.0,0.0,BTCUSDT,range_expansion
86,0,0,,0.0,0.0,BTCUSDT,range_expansion
87,0,0,,0.0,0.0,BTCUSDT,range_expansion
88,0,0,,0.0,0.0,BTCUSDT,range_expansion
89,0,0,,0.0,0.0,BTCUSDT,range_expansion
90,0,0,,0.0,0.0,BTCUSDT,range_expansion
91,0,0,,0.0,0.0,BTCUSDT,range_expansion
92,0,0,,0.0,0.0,BTCUSDT,range_expansion
93,0,0,,0.0,0.0,BTCUSDT,range_expansion
94,0,0,,0.0,0.0,BTCUSDT,range_expansion
95,0,0,,0.0,0.0,BTCUSDT,range_expansion
96,0,0,,0.0,0.0,BTCUSDT,range_expansion
1,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
2,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
3,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
4,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
5,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
6,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
7,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
8,1,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
9,1,1,1.0,0.0,1.0,ETHUSDT,secondary_shock
10,0,0,,0.0,0.0,ETHUSDT,secondary_shock
11,0,0,,0.0,0.0,ETHUSDT,secondary_shock
12,0,0,,0.0,0.0,ETHUSDT,secondary_shock
13,0,0,,0.0,0.0,ETHUSDT,secondary_shock
14,0,0,,0.0,0.0,ETHUSDT,secondary_shock
15,0,0,,0.0,0.0,ETHUSDT,secondary_shock
16,0,0,,0.0,0.0,ETHUSDT,secondary_shock
17,0,0,,0.0,0.0,ETHUSDT,secondary_shock
18,0,0,,0.0,0.0,ETHUSDT,secondary_shock
19,0,0,,0.0,0.0,ETHUSDT,secondary_shock
20,0,0,,0.0,0.0,ETHUSDT,secondary_shock
21,0,0,,0.0,0.0,ETHUSDT,secondary_shock
22,0,0,,0.0,0.0,ETHUSDT,secondary_shock
23,0,0,,0.0,0.0,ETHUSDT,secondary_shock
24,0,0,,0.0,0.0,ETHUSDT,secondary_shock
25,0,0,,0.0,0.0,ETHUSDT,secondary_shock
26,0,0,,0.0,0.0,ETHUSDT,secondary_shock
27,0,0,,0.0,0.0,ETHUSDT,secondary_shock
28,0,0,,0.0,0.0,ETHUSDT,secondary_shock
29,0,0,,0.0,0.0,ETHUSDT,secondary_shock
30,0,0,,0.0,0.0,ETHUSDT,secondary_shock
31,0,0,,0.0,0.0,ETHUSDT,secondary_shock
32,0,0,,0.0,0.0,ETHUSDT,secondary_shock
33,0,0,,0.0,0.0,ETHUSDT,secondary_shock
34,0,0,,0.0,0.0,ETHUSDT,secondary_shock
35,0,0,,0.0,0.0,ETHUSDT,secondary_shock
36,0,0,,0.0,0.0,ETHUSDT,secondary_shock
37,0,0,,0.0,0.0,ETHUSDT,secondary_shock
38,0,0,,0.0,0.0,ETHUSDT,secondary_shock
39,0,0,,0.0,0.0,ETHUSDT,secondary_shock
40,0,0,,0.0,0.0,ETHUSDT,secondary_shock
41,0,0,,0.0,0.0,ETHUSDT,secondary_shock
42,0,0,,0.0,0.0,ETHUSDT,secondary_shock
43,0,0,,0.0,0.0,ETHUSDT,secondary_shock
44,0,0,,0.0,0.0,ETHUSDT,secondary_shock
45,0,0,,0.0,0.0,ETHUSDT,secondary_shock
46,0,0,,0.0,0.0,ETHUSDT,secondary_shock
47,0,0,,0.0,0.0,ETHUSDT,secondary_shock
48,0,0,,0.0,0.0,ETHUSDT,secondary_shock
49,0,0,,0.0,0.0,ETHUSDT,secondary_shock
50,0,0,,0.0,0.0,ETHUSDT,secondary_shock
51,0,0,,0.0,0.0,ETHUSDT,secondary_shock
52,0,0,,0.0,0.0,ETHUSDT,secondary_shock
53,0,0,,0.0,0.0,ETHUSDT,secondary_shock
54,0,0,,0.0,0.0,ETHUSDT,secondary_shock
55,0,0,,0.0,0.0,ETHUSDT,secondary_shock
56,0,0,,0.0,0.0,ETHUSDT,secondary_shock
57,0,0,,0.0,0.0,ETHUSDT,secondary_shock
58,0,0,,0.0,0.0,ETHUSDT,secondary_shock
59,0,0,,0.0,0.0,ETHUSDT,secondary_shock
60,0,0,,0.0,0.0,ETHUSDT,secondary_shock
61,0,0,,0.0,0.0,ETHUSDT,secondary_shock
62,0,0,,0.0,0.0,ETHUSDT,secondary_shock
63,0,0,,0.0,0.0,ETHUSDT,secondary_shock
64,0,0,,0.0,0.0,ETHUSDT,secondary_shock
65,0,0,,0.0,0.0,ETHUSDT,secondary_shock
66,0,0,,0.0,0.0,ETHUSDT,secondary_shock
67,0,0,,0.0,0.0,ETHUSDT,secondary_shock
68,0,0,,0.0,0.0,ETHUSDT,secondary_shock
69,0,0,,0.0,0.0,ETHUSDT,secondary_shock
70,0,0,,0.0,0.0,ETHUSDT,secondary_shock
71,0,0,,0.0,0.0,ETHUSDT,secondary_shock
72,0,0,,0.0,0.0,ETHUSDT,secondary_shock
73,0,0,,0.0,0.0,ETHUSDT,secondary_shock
74,0,0,,0.0,0.0,ETHUSDT,secondary_shock
75,0,0,,0.0,0.0,ETHUSDT,secondary_shock
76,0,0,,0.0,0.0,ETHUSDT,secondary_shock
77,0,0,,0.0,0.0,ETHUSDT,secondary_shock
78,0,0,,0.0,0.0,ETHUSDT,secondary_shock
79,0,0,,0.0,0.0,ETHUSDT,secondary_shock
80,0,0,,0.0,0.0,ETHUSDT,secondary_shock
81,0,0,,0.0,0.0,ETHUSDT,secondary_shock
82,0,0,,0.0,0.0,ETHUSDT,secondary_shock
83,0,0,,0.0,0.0,ETHUSDT,secondary_shock
84,0,0,,0.0,0.0,ETHUSDT,secondary_shock
85,0,0,,0.0,0.0,ETHUSDT,secondary_shock
86,0,0,,0.0,0.0,ETHUSDT,secondary_shock
87,0,0,,0.0,0.0,ETHUSDT,secondary_shock
88,0,0,,0.0,0.0,ETHUSDT,secondary_shock
89,0,0,,0.0,0.0,ETHUSDT,secondary_shock
90,0,0,,0.0,0.0,ETHUSDT,secondary_shock
91,0,0,,0.0,0.0,ETHUSDT,secondary_shock
92,0,0,,0.0,0.0,ETHUSDT,secondary_shock
93,0,0,,0.0,0.0,ETHUSDT,secondary_shock
94,0,0,,0.0,0.0,ETHUSDT,secondary_shock
95,0,0,,0.0,0.0,ETHUSDT,secondary_shock
96,0,0,,0.0,0.0,ETHUSDT,secondary_shock
1,1,1,1.0,0.0,1.0,ETHUSDT,range_expansion
2,0,0,,0.0,0.0,ETHUSDT,range_expansion
3,0,0,,0.25,-0.25,ETHUSDT,range_expansion
4,0,0,,0.6666666666666666,-0.6666666666666666,ETHUSDT,range_expansion
5,0,0,,0.0,0.0,ETHUSDT,range_expansion
6,0,0,,1.0,-1.0,ETHUSDT,range_expansion
7,0,0,,0.0,0.0,ETHUSDT,range_expansion
8,0,0,,0.0,0.0,ETHUSDT,range_expansion
9,0,0,,0.0,0.0,ETHUSDT,range_expansion
10,0,0,,0.0,0.0,ETHUSDT,range_expansion
11,0,0,,0.0,0.0,ETHUSDT,range_expansion
12,0,0,,0.0,0.0,ETHUSDT,range_expansion
13,0,0,,0.0,0.0,ETHUSDT,range_expansion
14,0,0,,0.0,0.0,ETHUSDT,range_expansion
15,0,0,,0.0,0.0,ETHUSDT,range_expansion
16,0,0,,0.0,0.0,ETHUSDT,range_expansion
17,0,0,,0.0,0.0,ETHUSDT,range_expansion
18,0,0,,0.0,0.0,ETHUSDT,range_expansion
19,0,0,,0.0,0.0,ETHUSDT,range_expansion
20,0,0,,0.0,0.0,ETHUSDT,range_expansion
21,0,0,,0.0,0.0,ETHUSDT,range_expansion
22,0,0,,0.0,0.0,ETHUSDT,range_expansion
23,0,0,,0.0,0.0,ETHUSDT,range_expansion
24,0,0,,0.0,0.0,ETHUSDT,range_expansion
25,0,0,,0.0,0.0,ETHUSDT,range_expansion
26,0,0,,0.0,0.0,ETHUSDT,range_expansion
27,0,0,,0.0,0.0,ETHUSDT,range_expansion
28,0,0,,0.0,0.0,ETHUSDT,range_expansion
29,0,0,,0.0,0.0,ETHUSDT,range_expansion
30,0,0,,0.0,0.0,ETHUSDT,range_expansion
31,0,0,,0.0,0.0,ETHUSDT,range_expansion
32,0,0,,0.0,0.0,ETHUSDT,range_expansion
33,0,0,,0.0,0.0,ETHUSDT,range_expansion
34,0,0,,0.0,0.0,ETHUSDT,range_expansion
35,0,0,,0.0,0.0,ETHUSDT,range_expansion
36,0,0,,0.0,0.0,ETHUSDT,range_expansion
37,0,0,,0.0,0.0,ETHUSDT,range_expansion
38,0,0,,0.0,0.0,ETHUSDT,range_expansion
39,0,0,,0.0,0.0,ETHUSDT,range_expansion
40,0,0,,0.0,0.0,ETHUSDT,range_expansion
41,0,0,,0.0,0.0,ETHUSDT,range_expansion
42,0,0,,0.0,0.0,ETHUSDT,range_expansion
43,0,0,,0.0,0.0,ETHUSDT,range_expansion
44,0,0,,0.0,0.0,ETHUSDT,range_expansion
45,0,0,,0.0,0.0,ETHUSDT,range_expansion
46,0,0,,0.0,0.0,ETHUSDT,range_expansion
47,0,0,,0.0,0.0,ETHUSDT,range_expansion
48,0,0,,0.0,0.0,ETHUSDT,range_expansion
49,0,0,,0.0,0.0,ETHUSDT,range_expansion
50,0,0,,0.0,0.0,ETHUSDT,range_expansion
51,0,0,,0.0,0.0,ETHUSDT,range_expansion
52,0,0,,0.0,0.0,ETHUSDT,range_expansion
53,0,0,,0.0,0.0,ETHUSDT,range_expansion
54,0,0,,0.0,0.0,ETHUSDT,range_expansion
55,0,0,,0.0,0.0,ETHUSDT,range_expansion
56,0,0,,0.0,0.0,ETHUSDT,range_expansion
57,0,0,,0.0,0.0,ETHUSDT,range_expansion
58,0,0,,0.0,0.0,ETHUSDT,range_expansion
59,0,0,,0.0,0.0,ETHUSDT,range_expansion
60,0,0,,0.0,0.0,ETHUSDT,range_expansion
61,0,0,,0.0,0.0,ETHUSDT,range_expansion
62,0,0,,0.0,0.0,ETHUSDT,range_expansion
63,0,0,,0.0,0.0,ETHUSDT,range_expansion
64,0,0,,0.0,0.0,ETHUSDT,range_expansion
65,0,0,,0.0,0.0,ETHUSDT,range_expansion
66,0,0,,0.0,0.0,ETHUSDT,range_expansion
67,0,0,,0.0,0.0,ETHUSDT,range_expansion
68,0,0,,0.0,0.0,ETHUSDT,range_expansion
69,0,0,,0.0,0.0,ETHUSDT,range_expansion
70,0,0,,0.0,0.0,ETHUSDT,range_expansion
71,0,0,,0.0,0.0,ETHUSDT,range_expansion
72,0,0,,0.0,0.0,ETHUSDT,range_expansion
73,0,0,,0.0,0.0,ETHUSDT,range_expansion
74,0,0,,0.0,0.0,ETHUSDT,range_expansion
75,0,0,,0.0,0.0,ETHUSDT,range_expansion
76,0,0,,0.0,0.0,ETHUSDT,range_expansion
77,0,0,,0.0,0.0,ETHUSDT,range_expansion
78,0,0,,0.0,0.0,ETHUSDT,range_expansion
79,0,0,,0.0,0.0,ETHUSDT,range_expansion
80,0,0,,0.0,0.0,ETHUSDT,range_expansion
81,0,0,,0.0,0.0,ETHUSDT,range_expansion
82,0,0,,0.0,0.0,ETHUSDT,range_expansion
83,0,0,,0.0,0.0,ETHUSDT,range_expansion
84,0,0,,0.0,0.0,ETHUSDT,range_expansion
85,0,0,,0.0,0.0,ETHUSDT,range_expansion
86,0,0,,0.0,0.0,ETHUSDT,range_expansion
87,0,0,,0.0,0.0,ETHUSDT,range_expansion
88,0,0,,0.0,0.0,ETHUSDT,range_expansion
89,0,0,,0.0,0.0,ETHUSDT,range_expansion
90,0,0,,0.0,0.0,ETHUSDT,range_expansion
91,0,0,,0.0,0.0,ETHUSDT,range_expansion
92,0,0,,0.0,0.0,ETHUSDT,range_expansion
93,0,0,,0.0,0.0,ETHUSDT,range_expansion
94,0,0,,0.0,0.0,ETHUSDT,range_expansion
95,0,0,,0.0,0.0,ETHUSDT,range_expansion
96,0,0,,0.0,0.0,ETHUSDT,range_expansion
