condition,condition_desc,action,action_family,sample_size,train_samples,validation_samples,test_samples,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_c_stable_splits,gate_c_required_splits,gate_d_friction_floor,opportunity_forward_mean,opportunity_tail_mean,opportunity_composite_mean,opportunity_cost_mean,net_benefit_mean,gate_f_exposure_guard,gate_g_net_benefit,gate_e_simplicity,validation_delta_adverse_mean,test_delta_adverse_mean,test_t_stat,test_p_value,test_p_value_adj_bh,gate_oos_validation_test,gate_multiplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,682,409,136,137,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,entry_gate_skip,entry_gating,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12439482581940624,-0.09342551591790206,0.00023166291754329811,-0.0007738307591283731,0.0012977389468391463,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
all,all events,risk_throttle_0.5,risk_throttle,682,409,136,137,matched_controls_excess,-0.054716390786044726,-0.06312960078818318,-0.04721961439794137,0.00011583145877164906,-0.00037796037667044087,0.000590257088385598,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.054716390786044726,True,True,True,-0.07278700183272843,-0.053530606873430094,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12395526356254939,-0.09412867655660373,0.00023166291754329811,-0.0006877839974951845,0.001186014771281908,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
all,all events,delay_0,timing,682,409,136,137,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
all,all events,delay_8,timing,682,409,136,137,matched_controls_excess,-0.018214594884555013,-0.025200235900516805,-0.011446490465568148,1.9305243128608177e-05,-6.062229034951974e-05,0.00010246475987302224,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.018214594884555013,True,True,True,-0.019300643386381922,-0.015058674538426742,-2.0466234652172033,0.04069506908170606,0.07077403318557575,True,False,True,False,gate_multiplicity
all,all events,delay_30,timing,682,409,136,137,matched_controls_excess,-0.0510067849224202,-0.061801386665512506,-0.040568428632864924,7.239466173228066e-05,-0.00019651442273216672,0.0003795611345459594,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.0510067849224202,True,True,True,-0.05377968146864637,-0.04996569247729105,-3.863441458502458,0.0001118006958784612,0.000344002141164496,True,True,True,True,
all,all events,reenable_at_half_life,timing,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12521649734166596,-0.09422248347197687,0.00023166291754329811,-0.0006178705736017201,0.0011365103050624506,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,3,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,682,409,136,137,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12563103090934039,-0.09331631487161028,0.00023166291754329811,-0.0007099994431350488,0.0011609134660232655,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,682,409,136,137,matched_controls_excess,-0.054716390786044726,-0.062288030358253206,-0.04699969333677429,0.00011583145877164906,-0.0003772281843639755,0.0005857966576184105,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.054716390786044726,True,True,True,-0.07278700183272843,-0.053530606873430094,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12566561973486495,-0.09388878016126453,0.00023166291754329811,-0.0006957164738834666,0.0012501491362106843,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,delay_0,timing,682,409,136,137,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
symbol_BTCUSDT,symbol == BTCUSDT,delay_8,timing,682,409,136,137,matched_controls_excess,-0.018214594884555013,-0.025781420783727242,-0.011661940924189278,1.9305243128608177e-05,-5.456491450007118e-05,0.00010152413094659105,-0.08333333333333334,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.018214594884555013,True,True,True,-0.019300643386381922,-0.015058674538426742,-2.0466234652172033,0.04069506908170606,0.07077403318557575,True,False,True,False,gate_multiplicity
symbol_BTCUSDT,symbol == BTCUSDT,delay_30,timing,682,409,136,137,matched_controls_excess,-0.0510067849224202,-0.06210842446234162,-0.039569392139387385,7.239466173228066e-05,-0.00022249068676610716,0.0003652745128003007,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.0510067849224202,True,True,True,-0.05377968146864637,-0.04996569247729105,-3.863441458502458,0.0001118006958784612,0.000344002141164496,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,reenable_at_half_life,timing,682,409,136,137,matched_controls_excess,-0.10943278157208945,-0.12366278233026519,-0.09392447713324575,0.00023166291754329811,-0.0007565761240828383,0.0012116240990674367,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.007593074379872331,-0.00023166291754329811,0.0036807057311645163,0.0,0.10943278157208945,True,True,True,-0.14557400366545686,-0.10706121374686019,-6.068050558846741,1.2947216632142045e-09,1.2947216632142045e-08,True,True,True,True,
bull_bear_bear,bull_bear == bear,no_action,baseline,345,208,63,74,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,0,2,False,0.008041852402117116,0.0004667638429531701,0.004254308122535143,0.0,-0.0,True,True,True,0.0,0.0,,,1.0,False,False,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction,gate_oos_validation_test,gate_multiplicity"
bull_bear_bear,bull_bear == bear,entry_gate_skip,entry_gating,345,208,63,74,matched_controls_excess,-0.11201928492190268,-0.1345691256587461,-0.09101512821935749,-0.0004667638429531701,-0.001708956065472694,0.0007924189481566666,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,2,2,True,0.008041852402117116,0.0004667638429531701,0.004254308122535143,0.0004667638429531701,0.1115525210789495,True,True,True,-0.14030134205443015,-0.11310016372229485,-4.602326294279054,4.177979778807739e-06,2.0889898894038694e-05,True,True,True,True,
