condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
all,all events,no_action,baseline,155,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,entry_gate_skip,entry_gating,155,matched_controls_excess,-0.41706921815246023,-0.4507224657293162,-0.3819995281061428,-0.010177724347482995,-0.014095681346782506,-0.006944702577675457,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,risk_throttle_0.5,risk_throttle,155,matched_controls_excess,-0.20853460907623012,-0.2247188513706569,-0.19220280326531022,-0.005088862173741497,-0.006895880536829972,-0.003425051433696992,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,risk_throttle_0,risk_throttle,155,matched_controls_excess,-0.41706921815246023,-0.4495623989496915,-0.3816814291120354,-0.010177724347482995,-0.013346305465186694,-0.006909804879005625,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
all,all events,delay_0,timing,155,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
all,all events,delay_8,timing,155,matched_controls_excess,-0.21001612021998944,-0.24761974285202262,-0.1707823260458579,-0.0008481436956235829,-0.0011624473922975805,-0.0005674748947181132,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,delay_30,timing,155,matched_controls_excess,-0.38982372234992996,-0.42543314955107386,-0.355275037190516,-0.003180538858588436,-0.004394114225410164,-0.0020769140320816898,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
all,all events,reenable_at_half_life,timing,155,matched_controls_excess,-0.3837138238090013,-0.4187626825188221,-0.34672573730454165,-0.0015381340249780485,-0.0023043518258823005,-0.0009354033380296453,-0.12681451612903225,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,no_action,baseline,78,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,entry_gate_skip,entry_gating,78,matched_controls_excess,-0.41563345856145406,-0.46262975287644487,-0.3715943381702866,-0.009991189538084538,-0.014328413207735355,-0.005963058146856492,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,78,matched_controls_excess,-0.20781672928072703,-0.23237854936321814,-0.1839083667654897,-0.004995594769042269,-0.007213070122875632,-0.0030372473021968924,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,78,matched_controls_excess,-0.41563345856145406,-0.46188554891825434,-0.3659349536526268,-0.009991189538084538,-0.01465115183163404,-0.006345343864056012,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,delay_0,timing,78,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,delay_8,timing,78,matched_controls_excess,-0.19426986404600485,-0.24721677510431073,-0.14292350970139078,-0.0008325991281737116,-0.001199281235804163,-0.0005062544959424727,-0.08333333333333331,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,delay_30,timing,78,matched_controls_excess,-0.3925911875729164,-0.4396930727386559,-0.343662607815994,-0.003122246730651419,-0.004445152197438005,-0.001936944398410294,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,reenable_at_half_life,timing,78,matched_controls_excess,-0.3873263788623719,-0.4351681083184335,-0.3394477155082438,-0.0014893618571966073,-0.002242815278769261,-0.0008269801153823836,-0.12927350427350429,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,no_action,baseline,77,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_ETHUSDT,symbol == ETHUSDT,entry_gate_skip,entry_gating,77,matched_controls_excess,-0.41852362397192094,-0.4631130693307555,-0.37168712409325344,-0.010366681686873637,-0.01619722616064018,-0.004709081129314334,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0.5,risk_throttle,77,matched_controls_excess,-0.20926181198596047,-0.23136547388267342,-0.18456253011437365,-0.0051833408434368185,-0.00825169176358931,-0.0024251601810485455,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0,risk_throttle,77,matched_controls_excess,-0.41852362397192094,-0.46134363800600925,-0.36853935293483225,-0.010366681686873637,-0.015937870363163038,-0.005231619817188847,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,delay_0,timing,77,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,False,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_c_regime,gate_d_friction"
symbol_ETHUSDT,symbol == ETHUSDT,delay_8,timing,77,matched_controls_excess,-0.2259668732274024,-0.28364505955871433,-0.16674727644969214,-0.0008638901405728029,-0.0013798024456998655,-0.0004265567720524476,-0.08333333333333331,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,delay_30,timing,77,matched_controls_excess,-0.3870203160201514,-0.4363310928365106,-0.33722070555044137,-0.0032395880271480107,-0.005078769829577498,-0.0015881243620223546,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,reenable_at_half_life,timing,77,matched_controls_excess,-0.3800543524562362,-0.4312375883459668,-0.3263648840148576,-0.0015875395975358721,-0.002749888863469637,-0.0006412327351954005,-0.12432359307359307,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
